,start_longitude,start_latitude,end_longitude,end_latitude,start_longitude_utm,start_latitude_utm,end_longitude_utm,end_latitude_utm,hour,daytype
51320,4.8928,52.35772,4.87993,52.366440000000004,121319.70008423479,485650.7743076445,120449.75771238573,486627.04367971397,23,weekday
51325,4.90634,52.361540000000005,4.84314,52.37291,122244.8957220837,486069.59277275926,117949.44218515325,487365.08758484357,23,weekday
51319,4.82183,52.37852,4.84892,52.36977,116503.12989415786,488000.3789000113,118340.45775532266,487012.7833685763,23,weekday
51313,4.89494,52.3802,4.931430000000001,52.39891,121482.47070766412,488150.9741043162,123980.08862452689,490216.4669173328,23,weekday
51324,4.82177,52.378479999999996,4.8519,52.36708,116499.0097691154,487995.9602707485,118541.1956172314,486711.98358140304,23,weekday
51322,4.82033,52.376999999999995,4.85098,52.3707,116399.67197243412,487832.0576578918,118481.5167018319,487115.21761475055,23,weekday
51317,4.89286,52.35875,4.90186,52.36011,121324.56906114522,485765.3470472763,121938.66861450853,485912.52096222615,23,weekday
51318,4.90645,52.372479999999996,5.00128,52.35347,122260.4628106678,487286.76063194696,128707.10953389837,485133.0277906821,23,weekday
51321,4.90278,52.36983,4.929530000000001,52.39751,122008.56629105558,486993.5776676594,123849.79235877561,490061.51252109424,23,weekday
51316,4.92577,52.36482,5.003480000000001,52.352309999999996,123570.7226215347,486425.93214942643,128856.3106025344,485003.16661541554,23,weekday
51323,4.82019,52.37771,4.85199,52.367129999999996,116390.75716635556,487911.1286818772,118547.36639399678,486717.50144029554,23,weekday
51326,4.88784,52.37042,4.92995,52.3658,120991.54975278984,487066.12867021514,123856.11663330198,486533.1656406027,23,weekday
51328,4.89633,52.34832,4.85884,52.34876,121553.0886037095,484603.270942659,118999.00348547337,484670.1864347427,23,weekday
51330,4.8826,52.36072,4.934,52.360620000000004,120627.1771945122,485989.3510775845,124128.35836186828,485955.09000015655,23,weekday
51336,4.96,52.30638,4.82845,52.35807,125863.8642707297,479909.4473723784,116936.34268939885,485721.56538841355,23,weekday
51335,4.8178,52.3834,4.89347,52.4021,116232.99382157116,488545.4891893471,121398.9843921227,490588.32532390585,23,weekday
51331,4.8733699999999995,52.37164,4.83178,52.36039,120007.0661210368,487208.7579383762,117165.16523534601,485977.950227549,23,weekday
51327,4.87745,52.36155,4.9265300000000005,52.36657,120277.02111058569,486084.1539892169,123623.72497376078,486620.31335323834,23,weekday
51333,4.90383,52.372609999999995,4.91001,52.35535,122082.13821217303,487302.4116465377,122490.34870633089,485379.2233864435,23,weekday
51332,4.84569,52.3748,4.8800300000000005,52.35172,118124.66522677426,487574.0734891795,120445.10786736521,484989.20964466105,23,weekday
53403,4.87895,52.38984,4.90297,52.37533,120401.27113555718,489231.06741505733,122025.594828759,487605.43841879576,23,weekday
53406,4.84063,52.36934,4.83421,52.3593,117775.51868238204,486969.1662345274,117329.76631269063,485855.4085269582,23,weekday
53421,4.87029,52.36395,4.9258,52.35911,119791.21301653258,486354.63878196,123568.72151720806,485790.60710426315,23,weekday
53410,4.92664,52.366640000000004,5.00293,52.35282,123631.26643627294,486628.0541598565,128819.1393601055,485060.1094152462,23,weekday
53419,4.89127,52.40703,4.89504,52.380179999999996,121253.01988952809,491137.87822484155,121489.26436923261,488148.70259296487,23,weekday
53416,4.87812,52.39571,4.86925,52.36959,120349.35923052958,489884.58023700333,119724.86073630667,486982.66644070385,23,weekday
53422,4.9195,52.37327,4.97935,52.36068,123149.73088185748,487368.84332985146,127217.55049239655,485943.41660647496,23,weekday
53408,4.94375,52.33868,4.9532,52.31673,124777.57462680919,483509.87382755673,125406.9881680116,481063.7646110958,23,weekday
53426,4.89825,52.35094,4.922219999999999,52.35495,121685.87754091414,484893.89469040965,123321.88165208307,485329.3118566201,23,weekday
53430,4.90268,52.36974,4.92948,52.39745,122001.68897359015,486983.6095180499,123846.34712353106,490054.85818343464,23,weekday
53438,4.8891800000000005,52.38916,4.9016,52.37312,121097.13679540588,489150.57297628326,121930.65669123616,487360.1710678742,23,weekday
53432,4.87699,52.37508,4.92329,52.34329,120256.28566887378,487589.760757128,123386.47406620112,484031.52108298533,23,weekday
53429,4.8669,52.38514,4.917,52.34936,119577.23860185378,488713.9520762635,122962.22593107384,484709.6471351688,23,weekday
55979,4.93404,52.36376,4.908440000000001,52.3571,124133.2674441574,486304.439143255,122384.67707790989,485574.6386346049,23,weekday
55980,4.93144,52.36388,4.86113,52.36399,123956.25720089891,486318.9011653874,119167.33421670445,486363.5786900325,23,weekday
55978,4.8722900000000005,52.3757,4.83142,52.36058,119936.72689397245,487661.0074567112,117140.80491864042,485999.27806054224,23,weekday
55983,4.83654,52.361959999999996,4.86102,52.30344,117490.73358632767,486150.1578975651,119110.93974728277,479626.721554675,23,weekday
55975,4.844519999999999,52.37547,4.9545900000000005,52.30596,118045.5513843633,487649.2155183194,125494.61613571274,479864.9049933692,23,weekday
56003,4.91144,52.36864,4.90324,52.351459999999996,122597.47536714032,486857.2676276957,122026.24604518249,484949.46951291506,23,weekday
55989,4.89055,52.37229,4.833019999999999,52.35921,121177.534034799,487272.92227227736,117248.62747808936,485846.0141021583,23,weekday
55995,4.8800099999999995,52.36631,4.8600699999999994,52.37495,120455.10519229245,486612.5413778581,119104.00482779602,487583.54293216125,23,weekday
55973,4.853330000000001,52.37064,4.9097800000000005,52.346790000000006,118641.50753991713,487107.36027360026,122468.40648834896,484426.9178625456,23,weekday
55986,4.92665,52.366640000000004,5.00301,52.352909999999994,123631.94752333849,486628.04983180726,128824.64285113584,485070.09422476846,23,weekday
55990,4.9097800000000005,52.346790000000006,4.91432,52.36862,122468.40648834896,484426.9178625456,122793.6049085622,486853.7586595314,23,weekday
55993,4.94535,52.35751,5.00614,52.35322,124899.38828766052,485604.2879360309,129038.07134826804,485103.4602464233,23,weekday
55992,4.92818,52.35498,4.87359,52.37453,123727.93763869602,485330.0616528239,120024.32720057548,487530.20159011276,23,weekday
55999,4.9059099999999995,52.37272,4.88246,52.32739,122223.86633769923,487313.7078698756,120591.8176747118,482281.04347381595,23,weekday
55998,4.8888300000000005,52.356629999999996,4.849480000000001,52.384890000000006,121048.42084157032,485531.3502003422,118391.07882828853,488694.7942903686,23,weekday
55991,4.90865,52.346540000000005,4.94088,52.341229999999996,122391.22564711624,484399.60995827446,124583.72610122977,483794.7940296908,23,weekday
56009,4.90875,52.35431,4.8429,52.36535,122403.74614851392,485264.0759850558,117926.78091665958,486524.0650853753,23,weekday
56008,4.89208,52.375840000000004,4.95055,52.34045,121284.42540237197,487667.1932846313,125242.19260533853,483703.99560968624,23,weekday
56002,4.87412,52.36423,4.88954,52.345859999999995,120052.30481347401,486383.9386126283,121088.56122861622,484332.720110731,23,weekday
58653,4.9048099999999994,52.34894,4.89593,52.35362,122131.34714394277,484668.37458761135,121529.83077028242,485193.14736206667,23,weekday
58688,4.84039,52.37645,4.9599400000000005,52.30642,117765.14278128755,487760.367053449,125859.79841401424,479913.9219663396,23,weekday
58655,4.88746,52.3558,4.898630000000001,52.36916,120954.45434341404,485439.6448276951,121725.43340312914,486920.9286825467,23,weekday
58686,4.9245,52.361979999999996,5.00282,52.35246,123482.20373272014,486110.49649221415,128811.43263787898,485020.09435138135,23,weekday
58669,4.8914,52.35175,4.9319999999999995,52.37206,121219.78516857862,484987.18777997285,124000.11679288142,487228.79468025337,23,weekday
58644,4.87458,52.37339,4.87135,52.378809999999994,120090.84537671003,487402.88448953285,119875.1811736566,488007.49061489373,23,weekday
58656,4.8807,52.35496,4.86495,52.37144,120493.2750865643,485349.3810637268,119433.49725449596,487190.60428866453,23,weekday
